docker-compose version 1.28.5, build c4eb3a1f /etc/ansible/Assignment/DockerDemo/examples/compose DRIVER    VOLUME NAME
local     8fd2657efbe66abc65b3d30a028ca0f25676a06fc2e3fd0330273dd67a5769b1
local     9add1395c5ec9f306b658b06631c2c7b0fb93ddb126d7e4c0be7476deed8d436
local     9af6f81f1e6d9db9d74002e8ef4535b5be1dc7272b1c51d8b1dbe870ea834b89
local     9b7e31c95c422fb75c6bd877594e1fd6d62ecee39f1a93ee9eb9f89880c9115e
local     9b7781ffcf8672317633decf3cab7de6f2b7ae8e1e7ec69521242dfaba3d08f4
local     9d8a133a48bbff38c8e54d9a74010570719d5b77abb423f042f239e3eda9387f
local     9e07523e3b24eb6619dc2c8bc7f7e2448231fb30eda56c6b47ef9b841a56645d
local     9f04bd1b6c6ca39b8af5a752dcab702b5639cf952a73d2a1e859c7d31fa471d3
local     12c2da9edc2c3c2b47dc27505653922b342af42b9529cd1b31851890e7f5f7fd
local     22a732c0466e464962127a8b99752e56055d71060c8438899be190c3ef6093f1
local     22bd9dff58979cbcc9fb50812fcf60be5ba3e71ac6b9a0308780acc502cc3421
local     22d700a5747c3be42fb134aac73cf2e157275f2a53d254dbacf7bef7dc95f40e
local     27a88df7afdbaaf6a385ce231252b992d90ae323f55f422c8f5f4af674e49d77
local     27efc595eb089da2008fa63dbd0fe4192c5b3a4a59ef075cb121d8df52b80ad8
local     33ee2514e714b414366476dcc163ea94f2f18378b93792efc925c015865d7538
local     35bc95a46aa029fe0d33aab8b8a54384f4af9662151db23033a194ae41c5d7db
local     35de42ac6ca66b2d0f43e40ef3fbf45cdfefd055879e26e6a035d29772f04a4c
local     035acd3a55d6145c4fd42bf7e6d8f9a5d16e39c97f84e8671d80be8ad7f414f1
local     38b4ad8212f3f234f001c10837a5d435f1936adc9e5cef38ad9c693c30949825
local     39e17c23008d5bf4a369cddd4b7fcbec5f72af758471934af1134d9b505e1cbe
local     40aa29e68a632f34fc4841d2e03fcdfdaf2b9b99e66e9634fbaf9906e2ebbc81
local     40e71e4bf69ac8146fbedb3345572479bfd4fb07d8a54b3b00c54ebeac43f6f2
local     42fbf57f68120428b1827ee3f38e4d04896243ad93f7a90ed465f90792df3a44
local     44e76ea6fb68e8db82c0600b34efaaa5276459b957c3c3834b12aaccd15f64bf
local     044f265ba217ec88de2a511fab8a8956e03db90295c53c4c7d61e026d6fa135d
local     54da2b45e90c85748c7f89911c18b8bbefd017a857232c06576db4ea2e56a6cd
local     59e4a478a0af754ccef7e54d543d704a2e72552090f46212ee3e9ecb8ecedb9f
local     60b66f74da3062b92b2e1ecd725017bc90c4e31dc8c4e935c8ca3417eb60e1b5
local     64e7caa270f3c910f3fe9c1a49efdc4d6a13368adc111b3ef1e5cf1b868f5ae5
local     71d0da7fe0082348a9eeee4745acc4f39d538dced5a3cc1eaeeba33aad4217b1
local     72a5f2d361e93be1c6abc5e45c907858b4be73c3ecd5557107683d3cae2be5ad
local     73abd40e5d4750b03d918a8b4071472907746bb150d4fe5f94d8f6eb624de796
local     80d20ebd61f2c845b978b531618782591a7b5de928d01c86b02bdcc434df1d2f
local     85dd4d59029c249f96058dd192a5fd90f6d5e04fcd0168e1d6b9df739abcaa33
local     85f8fc737d1e3b70d235d8ce2a6e18487d9d762fb7f59d7903f1c6b472bac128
local     087ae49e413088a99bea92a90cb126d163277ef68f3e9f624b11a1d256b325c9
local     92e55d44a47bf04c24051c32436e42e32bd53c599a579cda36c51ff7c8f8eff8
local     92eb21c0c830c1ee2480be2d21fee64e7ef8dbaedc4154ae05956756ed6fa2d9
local     93c4c8db007ecbc6e4bf0aa6dc1a94f64bd71afdd968ba0ca632ce75891cd2ac
local     94cc2d965f700625037333ba943e83a2e0aaee1f86f2b665b678b02a295fd997
local     95fff23fdad18652baf43d2bff99946bbc7182c434c33f2d9d1c0bab67087003
